0.92;0.91;0.73;0.63;0.88;0.82;0.85;0.78;0.84;0.86;0.9;0.84;0.78;0.69;0.83;0.85;0.79;0.7;0.76;0.81;0.71;0.65;0.51;0.21;0.3;0.09;0.23;0.53;0.46;0.51;0.97;0.96;0.96;0.91;0.86;0.93;0.94;0.69;0.55;0.38
0.69;0.81;0.83;0.72;0.86;0.7;0.86;0.84;0.81;0.91;0.89;0.88;0.91;0.88;0.96;0.84;0.93;0.61;0.76;0.54;0.39;0.73;0.81;0.6;0.91;0.5;0.74;0.64;0.6;0.95;0.74;0.28;0.58;0.85;0.87;0.79;0.87;0.86;0.95;0.8
0.69;0.67;0.47;0.89;0;0.12;0.17;0.3;0.24;0.17;0.34;0.65;0.81;0.81;0.85;0.58;0.03;0.61;0.69;0.4;0.54;0.59;0.53;0.11;0.68;0.79;0.88;0.54;0;0.95;0.86;0.9;0.94;0.89;0.94;0.11;0.56;0.66;0.58;0.67
0.45;0.26;0.38;0.56;0.6;0.36;0.75;0.38;0.04;0.04;0.77;0.85;0.98;0.9;0.97;0.65;0.72;0.67;0.75;0.8;0.78;0.82;0.87;0.75;0.68;0.85;0.94;0.71;0.62;0.64;0.51;0.4;0.44;0.92;0.96;0.88;0.77;0.75;0.68;0.77
0.79;0.5;0.74;0.66;0.08;0.69;0.54;0.69;0.57;0.76;0.73;0.93;0.81;0.75;0.68;0.91;0.87;0.95;0.96;0.96;0.78;0.26;0.79;0.85;0.89;0.92;0.94;0.52;0.16;0.43;0.39;0.59;0.67;0.8;0;0.81;0.86;0.95;0.86;0.94
0.02;0.36;0.47;0.45;0.62;0.72;0.5;0.44;0.25;0.18;0.85;0.82;0.8;0.94;0.93;0.69;0.69;0.93;0.94;0.92;0.39;0.61;0.48;0.26;0.25;0.87;0.73;0.75;0.53;0.54;0.8;0.8;0.49;0.3;0.46;0.5;0.43;0.49;0.45;0.65
0.73;0.53;0.85;0.86;0.9;0.59;0.59;0.85;0.77;0.7;0.86;0.89;0.86;0.86;0.93;0.8;0.54;0.62;0.74;0.72;0.58;0.77;0.66;0.55;0.6;0.85;0.87;0.55;0.69;0.85;0.88;0.83;0.58;0.64;0.37;0.87;0.81;0.71;0.73;0.41
0.71;0.29;0.28;0.84;0.82;0.16;0.65;0.51;0.53;0.62;0.74;0.61;0.83;0.85;0.52;0.45;0.72;0.54;0.6;0.9;0;0.07;0.29;0.3;0.4;0.56;0.57;0.75;0.95;0.45;0.88;0.72;0.58;0.4;0.32;0.16;0.18;0.13;0.14;0.17
0.9;0.83;0.72;0.52;0.95;0.8;0.92;0.83;0.84;0.82;0.07;0.13;0.55;0.92;0.95;0.92;0.97;0.95;1;0.97;0.72;0.77;0.78;0.88;0.91;0.97;0.89;0.89;0.78;0.67;0.99;0.51;0.56;0.8;0.87;0.97;0.94;0.82;0.7;0.73
0.56;0.4;0.52;0.5;0.74;0.51;0.72;0.73;0.72;0.76;0.88;0.85;0.8;0.81;0.79;0.86;0.86;0.5;0.57;0.27;0.5;0.64;0.39;0.29;0.75;0.11;0.25;0.73;0.93;0.92;0.67;0.53;0.59;0.66;0.7;0.64;0.05;0.13;0.78;0.32
